web-scraper-order,web-scraper-start-url,link to product,link to product-href,name,price,link to reviews,link to reviews-href,image-src,rating
"1637690584-3649","https://www.jumia.ma/chaussures-femmes/?page=40#catalog-listing","Boutique OfficielleUGG CLASSIC MINI II BOOT GREY3 out of 5(1)1,792.00 Dhs2,240.00 Dhs20%","https://www.jumia.ma/ugg-classic-mini-ii-boot-grey-36946271.html","UGG CLASSIC MINI II BOOT GREY","1,792.00 Dhs","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/UG256FS0AA1QBNAFAMZ/","null","3 out of 5"
"1637690643-3659","https://www.jumia.ma/chaussures-femmes/?page=40#catalog-listing","Expédié depuis l'étrangerFashion Women's Fashion Thick Heel Single Shoes For Business Work - Black3.5 out of 5(4)170.00 Dhs336.00 Dhs49%","https://www.jumia.ma/fashion-womens-fashion-thick-heel-single-shoes-for-business-work-black-38260118.html","Fashion Women's Fashion Thick Heel Single Shoes For Business Work - Black","170.00 Dhs","(4 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/FA032FA1CAE0BNAFAMZ/","null","3 out of 5"
"1637689723-3501","https://www.jumia.ma/chaussures-femmes/?page=45#catalog-listing","JUNE MARILOU Baskets compensées mesh en tissu - Noir Brillant 20194.7 out of 5(6)349.00 Dhs499.00 Dhs30%","https://www.jumia.ma/june-marilou-baskets-compensees-mesh-en-tissu-noir-brillant-2019-33559997.html","JUNE MARILOU Baskets compensées mesh en tissu - Noir Brillant 2019","349.00 Dhs","(6 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/JU997FS1BMKY5NAFAMZ/","null","5 out of 5"
"1637691355-3829","https://www.jumia.ma/chaussures-femmes/?page=35#catalog-listing","YANZI Bottines fourrées noir pour femmes - COOLWAY4.3 out of 5(16)149.00 Dhs699.00 Dhs79%","https://www.jumia.ma/yanzi-bottines-fourrees-noir-pour-femmes-coolway-24249536.html","YANZI Bottines fourrées noir pour femmes - COOLWAY","149.00 Dhs","(16 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/YA300FA11V1MQNAFAMZ/","null","3 out of 5"
"1637690120-3573","https://www.jumia.ma/chaussures-femmes/?page=43#catalog-listing","Expédié depuis l'étrangerFashion Ladies fashion sandals - Black3.4 out of 5(10)145.00 Dhs284.00 Dhs49%","https://www.jumia.ma/fashion-ladies-fashion-sandals-black-38995268.html","Fashion Ladies fashion sandals - Black","145.00 Dhs","(10 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/FA032FA1FCUMNNAFAMZ/","null",""
"1637691089-3758","https://www.jumia.ma/chaussures-femmes/?page=37#catalog-listing","Expédié depuis l'étrangerFashion Women's Girls Ankle Sneakers Non-slip Walking Running Casual4.5 out of 5(4)110.00 Dhs220.00 Dhs50%","https://www.jumia.ma/fashion-womens-girls-ankle-sneakers-non-slip-walking-running-casual-29356049.html","Fashion Women's Girls Ankle Sneakers Non-slip Walking Running Casual","110.00 Dhs","(4 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/FA032FA1K05BKNAFAMZ/","null",""
"1637689341-3426","https://www.jumia.ma/chaussures-femmes/?page=47#catalog-listing","Boutique OfficielleConverse Chaussures CHUCK 70 LOW4.5 out of 5(2)539.00 Dhs899.00 Dhs40%","https://www.jumia.ma/converse-chaussures-chuck-70-low-37386210.html","Converse Chaussures CHUCK 70 LOW","539.00 Dhs","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/CO779FS00R6OLNAFAMZ/","null","5 out of 5"
"1637690916-3725","https://www.jumia.ma/chaussures-femmes/?page=38#catalog-listing","Espadrilles pour femme - Bleu marine4.7 out of 5(6)99.00 Dhs149.00 Dhs34%","https://www.jumia.ma/generic-espadrilles-pour-femme-bleu-marine-40930742.html","Espadrilles pour femme - Bleu marine","99.00 Dhs","(6 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GE232FS0EPHNKNAFAMZ/","null",""
"1637689683-3499","https://www.jumia.ma/chaussures-femmes/?page=46#catalog-listing","Adidas chaussures de course FLB_RUNNER W DB21214.1 out of 5(10)572.50 Dhs1,155.00 Dhs50%","https://www.jumia.ma/adidas-chaussures-de-course-flbrunner-w-db2121-21932249.html","Adidas chaussures de course FLB_RUNNER W DB2121","572.50 Dhs","(10 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/AD985FA1K3JMWNAFAMZ/","null",""
"1637689559-3479","https://www.jumia.ma/chaussures-femmes/?page=46#catalog-listing","Expédié depuis l'étrangerFashion Women Air-Cousion Breathable Sneakers-Black/Rose4 out of 5(15)224.00 Dhs359.00 Dhs38%","https://www.jumia.ma/fashion-women-air-cousion-breathable-sneakers-blackrose-22583292.html","Fashion Women Air-Cousion Breathable Sneakers-Black/Rose","224.00 Dhs","(15 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/FA032FA0HEOL6NAFAMZ/","null",""
"1637689465-3463","https://www.jumia.ma/chaussures-femmes/?page=47#catalog-listing","Expédié depuis l'étrangerFashion Chaussures de mariage de haute qualité talons hauts - Doré5 out of 5(2)269.00 Dhs999.00 Dhs73%","https://www.jumia.ma/fashion-chaussures-de-mariage-de-haute-qualite-talons-hauts-dore-28266763.html","Fashion Chaussures de mariage de haute qualité talons hauts - Doré","269.00 Dhs","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/FA032FA0LW11MNAFAMZ/","null","5 out of 5"
"1637689487-3464","https://www.jumia.ma/chaussures-femmes/?page=47#catalog-listing","Expédié depuis l'étrangerFashion Ladies Platform Slippers-Brown2.3 out of 5(3)190.00 Dhs360.00 Dhs47%","https://www.jumia.ma/fashion-ladies-platform-slippers-brown-41131524.html","Fashion Ladies Platform Slippers-Brown","190.00 Dhs","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/FA032FA0PB7BUNAFAMZ/","null","3 out of 5"
"1637690504-3638","https://www.jumia.ma/chaussures-femmes/?page=41#catalog-listing","Boutique OfficielleKinetix CHAUSSURES FEMME - NOIR4 out of 5(3)183.00 Dhs239.00 Dhs23%","https://www.jumia.ma/kinetix-chaussures-femme-noir-41102294.html","Kinetix CHAUSSURES FEMME - NOIR","183.00 Dhs","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/KI379FS0TAYHENAFAMZ/","null",""
"1637691365-3840","https://www.jumia.ma/chaussures-femmes/?page=35#catalog-listing","Bottes cuissardes femme tendance 2020 - Noir3.7 out of 5(3)279.99 Dhs","https://www.jumia.ma/generic-bottes-cuissardes-femme-tendance-2020-noir-23498372.html","Bottes cuissardes femme tendance 2020 - Noir","279.99 Dhs","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GE232FA0GB1TKNAFAMZ/","null",""
"1637690793-3685","https://www.jumia.ma/chaussures-femmes/?page=39#catalog-listing","espadrille pour femme5 out of 5(1)210.00 Dhs260.00 Dhs19%","https://www.jumia.ma/generic-espadrille-pour-femme-41534947.html","espadrille pour femme","210.00 Dhs","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GE232FA18MASANAFAMZ/","null","5 out of 5"
"1637690826-3695","https://www.jumia.ma/chaussures-femmes/?page=39#catalog-listing","Expédié depuis l'étrangerFashion Women Flower Pattern Rocker Sole Platform Shake Athletic Casual Shoes Sneakers4.3 out of 5(3)200.00 Dhs400.00 Dhs50%","https://www.jumia.ma/fashion-women-flower-pattern-rocker-sole-platform-shake-athletic-casual-shoes-sneakers-25479734.html","Fashion Women Flower Pattern Rocker Sole Platform Shake Athletic Casual Shoes Sneakers","200.00 Dhs","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/FA032FA0Q2QBWNAFAMZ/","null","5 out of 5"
"1637691360-3837","https://www.jumia.ma/chaussures-femmes/?page=35#catalog-listing","Boutique OfficielleOKZA Nouvelle Collection Des Ballerines en Daim Pour Femme4 out of 5(4)Options disponibles:99.00 Dhs250.00 Dhs60%","https://www.jumia.ma/okza-nouvelle-collection-des-ballerines-en-daim-pour-femme-39744813.html","OKZA Nouvelle Collection Des Ballerines en Daim Pour Femme","99.00 Dhs","(4 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OK734FA0IYJLLNAFAMZ/","null",""
"1637690130-3575","https://www.jumia.ma/chaussures-femmes/?page=43#catalog-listing","YANZI MANUELA  - Bottes fourrées.4.4 out of 5(11)Options disponibles:151.20 Dhs229.00 Dhs34%","https://www.jumia.ma/yanzi-manuela-bottes-fourrees.-31504695.html","YANZI MANUELA  - Bottes fourrées.","151.20 Dhs","(11 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/YA300FA0ZIAWXNAFAMZ/","null","5 out of 5"
"1637689998-3549","https://www.jumia.ma/chaussures-femmes/?page=44#catalog-listing","Expédié depuis l'étrangerFashion Women's Athletic Sports Shoes Outdoor Running Walking Breathable Casual Sneakers1 out of 5(1)65.00 Dhs - 100.00 Dhs130.00 Dhs - 200.00 Dhs50%","https://www.jumia.ma/fashion-womens-athletic-sports-shoes-outdoor-running-walking-breathable-casual-sneakers-26875598.html","Fashion Women's Athletic Sports Shoes Outdoor Running Walking Breathable Casual Sneakers","65.00 Dhs - 100.00 Dhs","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/FA032FA1HBJAENAFAMZ/","null","1 out of 5"
"1637689513-3468","https://www.jumia.ma/chaussures-femmes/?page=47#catalog-listing","Adidas Chaussures Femme Swift Run Primeknit Aqua CQ20344.5 out of 5(4)665.00 Dhs1,450.00 Dhs54%","https://www.jumia.ma/adidas-chaussures-femme-swift-run-primeknit-aqua-cq2034-26394143.html","Adidas Chaussures Femme Swift Run Primeknit Aqua CQ2034","665.00 Dhs","(4 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/AD985FA0KBXTENAFAMZ/","null",""
"1637690504-3637","https://www.jumia.ma/chaussures-femmes/?page=41#catalog-listing","Boutique OfficielleKinetix CHAUSSURES FEMME - NOIR4 out of 5(3)183.00 Dhs239.00 Dhs23%","https://www.jumia.ma/kinetix-chaussures-femme-noir-41102294.html","Kinetix CHAUSSURES FEMME - NOIR","183.00 Dhs","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/KI379FS0TAYHENAFAMZ/","null",""
"1637689231-3390","https://www.jumia.ma/chaussures-femmes/?page=48#catalog-listing","Expédié depuis l'étrangerFashion Women's Flyknit Sneakers Athletic Running Shoes (Grey)5 out of 5(4)140.00 Dhs300.00 Dhs53%","https://www.jumia.ma/fashion-womens-flyknit-sneakers-athletic-running-shoes-grey-26685793.html","Fashion Women's Flyknit Sneakers Athletic Running Shoes (Grey)","140.00 Dhs","(4 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/TA645FA0NO5ZANAFAMZ/","null",""
"1637691076-3756","https://www.jumia.ma/chaussures-femmes/?page=37#catalog-listing","Boutique OfficielleKinetix NOIR BOTTES FEMMES4.3 out of 5(3)239.00 Dhs329.00 Dhs27%","https://www.jumia.ma/kinetix-noir-bottes-femmes-37391233.html","Kinetix NOIR BOTTES FEMMES","239.00 Dhs","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/KI379FS0JS08DNAFAMZ/","null","3 out of 5"
"1637690120-3574","https://www.jumia.ma/chaussures-femmes/?page=43#catalog-listing","Expédié depuis l'étrangerFashion Ladies fashion sandals - Black3.4 out of 5(10)145.00 Dhs284.00 Dhs49%","https://www.jumia.ma/fashion-ladies-fashion-sandals-black-38995268.html","Fashion Ladies fashion sandals - Black","145.00 Dhs","(10 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/FA032FA1FCUMNNAFAMZ/","null",""
"1637690775-3683","https://www.jumia.ma/chaussures-femmes/?page=39#catalog-listing","Boutique OfficielleOKZA Bottine courte à Talon Épais Pour Femme - أحذية كعب سميك قصير للمرأة3.5 out of 5(8)173.00 Dhs - 173.25 Dhs175.00 Dhs - 400.00 Dhs57%","https://www.jumia.ma/okza-bottine-courte-a-talon-epais-pour-femme-33497074.html","OKZA Bottine courte à Talon Épais Pour Femme - أحذية كعب سميك قصير للمرأة","173.00 Dhs - 173.25 Dhs","(8 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OK734FA0S12Q1NAFAMZ/","null",""
"1637689870-3529","https://www.jumia.ma/chaussures-femmes/?page=45#catalog-listing","YANZI Laurel  - Bottes fourrées.4.8 out of 5(4)Options disponibles:191.20 Dhs239.00 Dhs20%","https://www.jumia.ma/yanzi-laurel-bottes-fourrees.-31504685.html","YANZI Laurel  - Bottes fourrées.","191.20 Dhs","(4 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/YA300FA0YWVB5NAFAMZ/","null","5 out of 5"
"1637690757-3678","https://www.jumia.ma/chaussures-femmes/?page=39#catalog-listing","Boutique OfficielleBirkenstock Gizeh Birko-Flor verni Patent White3.5 out of 5(2)799.00 Dhs","https://www.jumia.ma/birkenstock-gizeh-birko-flor-verni-patent-white-26211312.html","Birkenstock Gizeh Birko-Flor verni Patent White","799.00 Dhs","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/BI462FA0CORVINAFAMZ/","null","5 out of 5"
"1637689770-3511","https://www.jumia.ma/chaussures-femmes/?page=45#catalog-listing","Boutique OfficielleOKZA Ballerine Pour Femme - Noir/argenté4.2 out of 5(30)98.00 Dhs - 98.01 Dhs99.00 Dhs - 250.00 Dhs61%","https://www.jumia.ma/okza-ballerine-pour-femme-noirargente-29293011.html","OKZA Ballerine Pour Femme - Noir/argenté","98.00 Dhs - 98.01 Dhs","(30 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OK734FA06KLZ0NAFAMZ/","null",""
"1637691355-3833","https://www.jumia.ma/chaussures-femmes/?page=35#catalog-listing","YANZI Bottines fourrées noir pour femmes - COOLWAY4.3 out of 5(16)149.00 Dhs699.00 Dhs79%","https://www.jumia.ma/yanzi-bottines-fourrees-noir-pour-femmes-coolway-24249536.html","YANZI Bottines fourrées noir pour femmes - COOLWAY","149.00 Dhs","(16 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/YA300FA11V1MQNAFAMZ/","null",""
"1637690359-3608","https://www.jumia.ma/chaussures-femmes/?page=42#catalog-listing","Jives SANDALE MEDICALE POUR FEMME EN CUIR NOIR   REF 5124.8 out of 5(4)139.00 Dhs189.00 Dhs26%","https://www.jumia.ma/jives-sandale-medicale-pour-femme-en-cuir-noir-ref-512-39698220.html","Jives SANDALE MEDICALE POUR FEMME EN CUIR NOIR   REF 512","139.00 Dhs","(4 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/JI010FS01D2QLNAFAMZ/","null","5 out of 5"
"1637691184-3783","https://www.jumia.ma/chaussures-femmes/?page=37#catalog-listing","Expédié depuis l'étrangerFashion Chaussure de randonnée pour femmes3.9 out of 5(43)140.00 Dhs300.00 Dhs53%","https://www.jumia.ma/fashion-chaussure-de-randonnee-pour-femmes-20199601.html","Fashion Chaussure de randonnée pour femmes","140.00 Dhs","(43 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/TA645FA06DBHANAFAMZ/","null","5 out of 5"
"1637689208-3345","https://www.jumia.ma/chaussures-femmes/?page=48#catalog-listing","Expédié depuis l'étrangerFashion Big Size Sneakers Women Flyknit Shoes Moccasins Flat Loafers (Red)4.6 out of 5(15)140.00 Dhs300.00 Dhs53%","https://www.jumia.ma/fashion-big-size-sneakers-women-flyknit-shoes-moccasins-flat-loafers-red-26685693.html","Fashion Big Size Sneakers Women Flyknit Shoes Moccasins Flat Loafers (Red)","140.00 Dhs","(15 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/TA645FA0NM0TINAFAMZ/","null",""
"1637690671-3661","https://www.jumia.ma/chaussures-femmes/?page=40#catalog-listing","Boutique OfficielleUGG CLASSIC MINI II BOOT CHESTNUT5 out of 5(2)2,240.00 Dhs","https://www.jumia.ma/ugg-classic-mini-ii-boot-chestnut-36915937.html","UGG CLASSIC MINI II BOOT CHESTNUT","2,240.00 Dhs","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/UG256FS1811P7NAFAMZ/","null",""
"1637691118-3764","https://www.jumia.ma/chaussures-femmes/?page=37#catalog-listing","Boutique OfficiellePolaris Chaussures pour Femmes - Noir3.9 out of 5(16)119.00 Dhs189.00 Dhs37%","https://www.jumia.ma/polaris-chaussures-pour-femmes-noir-35924481.html","Polaris Chaussures pour Femmes - Noir","119.00 Dhs","(16 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/PO205FS0AZAO9NAFAMZ/","null",""
"1637689315-3420","https://www.jumia.ma/chaussures-femmes/?page=47#catalog-listing","Boutique OfficielleOKZA Sandale Demi Talon pour femme4.2 out of 5(20)137.61 Dhs139.00 Dhs - 300.00 Dhs54%","https://www.jumia.ma/okza-sandale-demi-talon-pour-femme-32156439.html","OKZA Sandale Demi Talon pour femme","137.61 Dhs","(20 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OK734FA1JNA5FNAFAMZ/","null",""
"1637690926-3733","https://www.jumia.ma/chaussures-femmes/?page=38#catalog-listing","Expédié depuis l'étrangerFashion Ladies fashion sandals - Black3.1 out of 5(16)148.00 Dhs350.00 Dhs58%","https://www.jumia.ma/fashion-ladies-fashion-sandals-black-38995264.html","Fashion Ladies fashion sandals - Black","148.00 Dhs","(16 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/FA032FA0RJIFJNAFAMZ/","null",""
"1637689261-3406","https://www.jumia.ma/chaussures-femmes/?page=48#catalog-listing","Reebok Baskets Royal Ultra4.5 out of 5(2)449.00 Dhs900.00 Dhs50%","https://www.jumia.ma/reebok-baskets-royal-ultra-42685014.html","Reebok Baskets Royal Ultra","449.00 Dhs","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/RE006MW0OG11CNAFAMZ/","null","4 out of 5"
"1637689770-3509","https://www.jumia.ma/chaussures-femmes/?page=45#catalog-listing","Boutique OfficielleOKZA Ballerine Pour Femme - Noir/argenté4.2 out of 5(30)98.00 Dhs - 98.01 Dhs99.00 Dhs - 250.00 Dhs61%","https://www.jumia.ma/okza-ballerine-pour-femme-noirargente-29293011.html","OKZA Ballerine Pour Femme - Noir/argenté","98.00 Dhs - 98.01 Dhs","(30 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OK734FA06KLZ0NAFAMZ/","null",""
"1637691184-3786","https://www.jumia.ma/chaussures-femmes/?page=37#catalog-listing","Expédié depuis l'étrangerFashion Chaussure de randonnée pour femmes3.9 out of 5(43)140.00 Dhs300.00 Dhs53%","https://www.jumia.ma/fashion-chaussure-de-randonnee-pour-femmes-20199601.html","Fashion Chaussure de randonnée pour femmes","140.00 Dhs","(43 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/TA645FA06DBHANAFAMZ/","null",""
"1637690911-3721","https://www.jumia.ma/chaussures-femmes/?page=38#catalog-listing","Boutique OfficielleOKZA Ballerine Pour Femme - Multi-couleur3.6 out of 5(19)98.00 Dhs - 98.01 Dhs99.00 Dhs - 300.00 Dhs67%","https://www.jumia.ma/okza-ballerine-pour-femme-multi-couleur-28412038.html","OKZA Ballerine Pour Femme - Multi-couleur","98.00 Dhs - 98.01 Dhs","(19 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OK734FA1DFFSANAFAMZ/","null","4 out of 5"
"1637690798-3686","https://www.jumia.ma/chaussures-femmes/?page=39#catalog-listing","Boutique OfficielleKinetix NOIR CHAUSSURES FEMMES3.8 out of 5(8)183.00 Dhs239.00 Dhs23%","https://www.jumia.ma/kinetix-noir-chaussures-femmes-37391167.html","Kinetix NOIR CHAUSSURES FEMMES","183.00 Dhs","(8 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/KI379FS19BI31NAFAMZ/","null","3 out of 5"
"1637689231-3391","https://www.jumia.ma/chaussures-femmes/?page=48#catalog-listing","Expédié depuis l'étrangerFashion Women's Flyknit Sneakers Athletic Running Shoes (Grey)5 out of 5(4)140.00 Dhs300.00 Dhs53%","https://www.jumia.ma/fashion-womens-flyknit-sneakers-athletic-running-shoes-grey-26685793.html","Fashion Women's Flyknit Sneakers Athletic Running Shoes (Grey)","140.00 Dhs","(4 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/TA645FA0NO5ZANAFAMZ/","null",""
