web-scraper-order,web-scraper-start-url,link to product,link to product-href,name,price,link to reviews,link to reviews-href,image-src,ratings
"1637687233-2357","https://www.jumia.ma/maquillage/?page=11#catalog-listing","Boutique OfficielleRevolution PACK PROMO REVOLUTION : PALETTE GOLDEN BAR + LIQUID HIGHLIGHT UNICORN ELIXIR + I ♡ FIXING SPRAY + i ♡ GLOSS NEBULA4.3 out of 5(7)169.00 Dhs399.00 Dhs58%","https://www.jumia.ma/revolution-pack-promo-revolution-palette-golden-bar-liquid-highlight-unicorn-elixir-i-fixing-spray-i-gloss-nebula-41421256.html","Revolution PACK PROMO REVOLUTION : PALETTE GOLDEN BAR + LIQUID HIGHLIGHT UNICORN ELIXIR + I ♡ FIXING SPRAY + i ♡ GLOSS NEBULA","169.00 Dhs","(7 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/RE466ST12TQ7YNAFAMZ/","null","5 out of 5"
"1637688215-2692","https://www.jumia.ma/maquillage/?page=5#catalog-listing","Boutique OfficiellePastel Vernis à ongles #1204.2 out of 5(10)25.00 Dhs","https://www.jumia.ma/vernis-a-ongles-120-pastel-mpg873252.html","Pastel Vernis à ongles #120","25.00 Dhs","(10 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/PA336ST0Y18APNAFAMZ/","null","5 out of 5"
"1637688525-2857","https://www.jumia.ma/maquillage/?page=4#catalog-listing","Boutique OfficielleMaybelline New York Maybelline - Palette Master Bronzer et Enlumineur - BRONZE4.2 out of 5(11)Options disponibles:116.63 Dhs149.95 Dhs22%","https://www.jumia.ma/maybelline-new-york-maybelline-palette-master-bronzer-et-enlumineur-bronze-33479062.html","Maybelline New York Maybelline - Palette Master Bronzer et Enlumineur - BRONZE","116.63 Dhs","(11 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/MA596HB0FJCWPNAFAMZ/","null","4 out of 5"
"1637688865-3076","https://www.jumia.ma/maquillage/?page=2#catalog-listing","Boutique OfficielleEssence ROUGE À LÈVRES VELVET STICK MATT 034.1 out of 5(9)19.00 Dhs29.00 Dhs34%","https://www.jumia.ma/essence-rouge-a-levres-velvet-stick-matt-03-37700895.html","Essence ROUGE À LÈVRES VELVET STICK MATT 03","19.00 Dhs","(9 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/ES309ST0ZLQKLNAFAMZ/","null","5 out of 5"
"1637686277-2174","https://www.jumia.ma/maquillage/?page=16#catalog-listing","Essence YOU BETTER WORK! MASCARA VOLUME & CURLS Waterproof4 out of 5(4)81.40 Dhsoffres à partir de","https://www.jumia.ma/you-better-work-mascara-volume-curls-waterproof-essence-mpg1063878.html","Essence YOU BETTER WORK! MASCARA VOLUME & CURLS Waterproof","81.40 Dhs","(4 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/ES309ST0XU8KSNAFAMZ/","null","5 out of 5"
"1637685620-2071","https://www.jumia.ma/maquillage/?page=20#catalog-listing","Boutique OfficielleMaybelline New York Fond de teint Superstay 24h - BEIGE DORE 214.4 out of 5(14)Options disponibles:93.33 Dhs120.00 Dhs22%offres à partir de","https://www.jumia.ma/fond-de-teint-superstay-24h-beige-ensoleille-48-maybelline-new-york-mpg882917.html","Maybelline New York Fond de teint Superstay 24h - BEIGE DORE 21","93.33 Dhs","(14 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/MA596HB08E5NDNAFAMZ/","null","4 out of 5"
"1637688455-2823","https://www.jumia.ma/maquillage/?page=4#catalog-listing","Boutique OfficielleEssie Vernis à ongles ESSIE 121 Topless and barefoot4.6 out of 5(25)50.04 Dhs70.00 Dhs29%","https://www.jumia.ma/essie-vernis-a-ongles-essie-121-topless-and-barefoot-33479216.html","Essie Vernis à ongles ESSIE 121 Topless and barefoot","50.04 Dhs","(25 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/ES507HB10HTEHNAFAMZ/","null","5 out of 5"
"1637686937-2292","https://www.jumia.ma/maquillage/?page=12#catalog-listing","Boutique OfficielleCatrice EYELINER LIQUIDE ROCK COUTURE 050 + FARD À PAUPIÈRES MÉTAL LIQUIDE 0803 out of 5(4)44.00 Dhs110.00 Dhs60%","https://www.jumia.ma/catrice-eyeliner-liquide-rock-couture-050-fard-a-paupieres-metal-liquide-080-37700867.html","Catrice EYELINER LIQUIDE ROCK COUTURE 050 + FARD À PAUPIÈRES MÉTAL LIQUIDE 080","44.00 Dhs","(4 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/CA395ST19Q3UTNAFAMZ/","null","4 out of 5"
"1637681634-1791","https://www.jumia.ma/maquillage/?page=48#catalog-listing","Boutique OfficielleRevolution Brow Tint - Medium Brown 5 out of 5(1)89.00 Dhs99.00 Dhs10%","https://www.jumia.ma/revolution-brow-tint-medium-brown-19505544.html","Revolution Brow Tint - Medium Brown","89.00 Dhs","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/MA367HB0QIVGFNAFAMZ/","null","5 out of 5"
"1637688742-2976","https://www.jumia.ma/maquillage/?page=3#catalog-listing","Boutique OfficielleGarnier SkinActive - BB crème peaux mixtes à grasse Light - 40ml.4.3 out of 5(12)Options disponibles:73.79 Dhs82.92 Dhs11%","https://www.jumia.ma/garnier-skinactive-bb-creme-peaux-mixtes-a-grasse-light-40ml.-32212152.html","Garnier SkinActive - BB crème peaux mixtes à grasse Light - 40ml.","73.79 Dhs","(12 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GA204HB0EYFNRNAFAMZ/","null","5 out of 5"
