web-scraper-order,web-scraper-start-url,link to product,link to product-href,name,price,image-src,link to reviews,link to reviews-href,rating
"1637694041-3904","https://www.jumia.ma/parfums-femme/?page=49#catalog-listing","Elie Saab Girl of Now d'Elie Saab - Eau de Parfum 90ml3 out of 5(2)1,199.00 Dhs1,399.00 Dhs14%","https://www.jumia.ma/girl-of-now-delie-saab-eau-de-parfum-90ml-elie-saab-mpg51199.html","Elie Saab Girl of Now d'Elie Saab - Eau de Parfum 90ml","1,199.00 Dhs","null","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/EL874HB0U9W9WNAFAMZ/","(1)"
"1637696920-4094","https://www.jumia.ma/parfums-femme/?page=27#catalog-listing","PRINCESSE3 out of 5(1)700.00 Dhs","https://www.jumia.ma/generic-princesse-35102911.html","PRINCESSE","700.00 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GE232PF073HNDNAFAMZ/","(0)"
"1637695985-4025","https://www.jumia.ma/parfums-femme/?page=34#catalog-listing","VICTORIA Brume parfumée - Corps & cheveux - Mango Temptation - 250 ml5 out of 5(1)289.00 Dhs399.00 Dhs28%","https://www.jumia.ma/brume-parfumee-corps-cheveux-mango-temptation-250-ml-victoria-mpg896795.html","VICTORIA Brume parfumée - Corps & cheveux - Mango Temptation - 250 ml","289.00 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/VI322PF0NFPQTNAFAMZ/","(1)"
"1637696946-4096","https://www.jumia.ma/parfums-femme/?page=27#catalog-listing","Avon Pack Today - EDP - 50ml + Body Lotion 150 Ml- For Women5 out of 5(4)138.50 Dhsoffres à partir de","https://www.jumia.ma/pack-today-edp-50ml-body-lotion-150-ml-for-women-avon-mpg852867.html","Avon Pack Today - EDP - 50ml + Body Lotion 150 Ml- For Women","138.50 Dhs","null","(4 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/AV168PF04VLLLNAFAMZ/","(4)"
"1637695179-3976","https://www.jumia.ma/parfums-femme/?page=40#catalog-listing","Avon Pack Far Away Eau de parfum + mini parfum +  stick deo à bille5 out of 5(1)191.07 Dhs290.00 Dhs34%","https://www.jumia.ma/avon-pack-far-away-eau-de-parfum-mini-parfum-stick-deo-a-bille-36974052.html","Avon Pack Far Away Eau de parfum + mini parfum +  stick deo à bille","191.07 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/AV168PF0EWV4RNAFAMZ/","(1)"
"1637696021-4027","https://www.jumia.ma/parfums-femme/?page=34#catalog-listing","ard al zaafarn Eau de parfum ana abiyedh 50ml + Déodorant 200ml4.7 out of 5(3)99.00 Dhs","https://www.jumia.ma/eau-de-parfum-ana-abiyedh-50ml-deodorant-200ml-ard-al-zaafarn-mpg878356.html","ard al zaafarn Eau de parfum ana abiyedh 50ml + Déodorant 200ml","99.00 Dhs","null","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/AR605PF0M01P5NAFAMZ/","(2)"
"1637695526-3997","https://www.jumia.ma/parfums-femme/?page=38#catalog-listing","Avon Pack Today 50ml + Body Lotion 150 Ml + Care Nourishing Cocoa Butter Hand Cream - 75ml 4 out of 5(2)162.00 Dhs","https://www.jumia.ma/avon-pack-today-50ml-body-lotion-150-ml-care-nourishing-cocoa-butter-hand-cream-75ml-33435471.html","Avon Pack Today 50ml + Body Lotion 150 Ml + Care Nourishing Cocoa Butter Hand Cream - 75ml","162.00 Dhs","null","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/AV168PF0AE35LNAFAMZ/","(0)"
"1637694167-3911","https://www.jumia.ma/parfums-femme/?page=48#catalog-listing","SAPHIR PARFUM RUBI3 out of 5(1)169.00 Dhs199.00 Dhs15%","https://www.jumia.ma/saphir-parfum-rubi-33775144.html","SAPHIR PARFUM RUBI","169.00 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/SA040PF0QAGBPNAFAMZ/","(0)"
"1637693900-3890","https://www.jumia.ma/parfums-femme/?page=50#catalog-listing","Lattafa Parfum Oud Mood Gold Elixir de Lattafa 100Ml eau de Parfum4.5 out of 5(2)148.83 Dhs299.00 Dhs50%offres à partir de","https://www.jumia.ma/parfum-oud-mood-gold-elixir-de-lattafa-100ml-eau-de-parfum-lattafa-mpg896575.html","Lattafa Parfum Oud Mood Gold Elixir de Lattafa 100Ml eau de Parfum","148.83 Dhs","null","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/LA942HB14Z9JZNAFAMZ/","(1)"
"1637695829-4014","https://www.jumia.ma/parfums-femme/?page=35#catalog-listing","Cartier La Panthère de Cartier - Eau de Parfum - 75ml4 out of 5(4)1,199.00 Dhs1,249.00 Dhs4%","https://www.jumia.ma/la-panthere-de-cartier-eau-de-parfum-75ml-cartier-mpg17533.html","Cartier La Panthère de Cartier - Eau de Parfum - 75ml","1,199.00 Dhs","null","(4 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/CA973HB0YAQ7KNAFAMZ/","(1)"
