web-scraper-order,web-scraper-start-url,link to TV,link to TV-href,caracteristique,price,rating,marque
"1638026563-378","https://www.jumia.ma/mlp-smart-tv/?page=6#catalog-listing","Samsung 32"" Smart Tv LED SERIE 5 Récepteur WIFI TNT USB HDMI4.4 out of 5(21)2,289.00 Dhs3,549.00 Dhs36%offres à partir de","https://www.jumia.ma/32-smart-tv-led-serie-5-recepteur-wifi-tnt-usb-hdmi-samsung-mpg940011.html","Samsung 32"" Smart Tv LED SERIE 5 Récepteur WIFI TNT USB HDMI","2,289.00 Dhs","4.4","Samsung"
"1638026486-350","https://www.jumia.ma/mlp-smart-tv/?page=7#catalog-listing","Revolution 32"" LED FrameLess Design Sans cadre - Récepteur intégré et TNT - Garantie 2 ans1,549.00 Dhs2,299.00 Dhs33%","https://www.jumia.ma/revolution-32-led-frameless-design-sans-cadre-recepteur-integre-et-tnt-garantie-2-ans-42297428.html","Revolution 32"" LED FrameLess Design Sans cadre - Récepteur intégré et TNT - Garantie 2 ans","1,549.00 Dhs","null","Revolution"
"1638026476-346","https://www.jumia.ma/mlp-smart-tv/?page=7#catalog-listing","En rupture de stockXIAOMI TV Xiaomi Mi 4A 32"" HD Android TV Noir L32m5-5ASP2,990.00 Dhs3,499.00 Dhs15%","https://www.jumia.ma/xiaomi-tv-xiaomi-mi-4a-32-hd-android-tv-noir-l32m5-5asp-42156999.html","Téléviseurs Intelligents","null","null","null"
"1638026326-287","https://www.jumia.ma/mlp-smart-tv/?page=8#catalog-listing","En rupture de stockLG 32″ HD 32LK500BPTA LED TV – Noir4.5 out of 5(6)2,479.00 Dhs","https://www.jumia.ma/lg-32-hd-32lk500bpta-led-tv-noir-21606396.html","LG 32″ HD 32LK500BPTA LED TV – Noir","2,479.00 Dhs","4.5","LG"
"1638026528-365","https://www.jumia.ma/mlp-smart-tv/?page=6#catalog-listing","En rupture de stockLeader 32"" SMART TV ANDROID Rapide 9 +Screen Mirroring +SAT+TNT- Nouvelle Génération1,999.00 Dhs2,300.00 Dhs13%","https://www.jumia.ma/leader-32-smart-tv-android-rapide-9-screen-mirroring-sattnt-nouvelle-generation-39142343.html","Télévision Par Satellite","null","null","null"
"1638026986-541","https://www.jumia.ma/mlp-smart-tv/?page=2#catalog-listing","Visio 40"" FULL HD SMART Tv +Abonnement service 12 Mois + Support mural3 out of 5(1)2,699.00 Dhs3,500.00 Dhs23%","https://www.jumia.ma/visio-40-full-hd-smart-tv-abonnement-service-12-mois-support-mural-36521083.html","Visio 40"" FULL HD SMART Tv +Abonnement service 12 Mois + Support mural","2,699.00 Dhs","3","Visio"
"1638026604-393","https://www.jumia.ma/mlp-smart-tv/?page=5#catalog-listing","Samsung TV LED 40T5300 FULL HD SMART TV  AVEC RÉCEPTEUR INTÉGRÉ4.7 out of 5(10)3,929.00 Dhs4,500.00 Dhs13%offres à partir de","https://www.jumia.ma/tv-led-40t5300-full-hd-smart-tv-avec-recepteur-integre-samsung-mpg878777.html","Samsung TV LED 40T5300 FULL HD SMART TV  AVEC RÉCEPTEUR INTÉGRÉ","3,929.00 Dhs","4.7","Samsung"
"1638026765-456","https://www.jumia.ma/mlp-smart-tv/?page=4#catalog-listing","Mgs TV 32 MGS HD  DLED FRAMELESS - USB - HDMI -TNT1,519.05 Dhs2,099.00 Dhs28%","https://www.jumia.ma/mgs-tv-32-mgs-hd-dled-frameless-usb-hdmi-tnt-40924148.html","Mgs TV 32 MGS HD  DLED FRAMELESS - USB - HDMI -TNT","1,519.05 Dhs","null","Mgs"
"1638026452-337","https://www.jumia.ma/mlp-smart-tv/?page=7#catalog-listing","LG 32"" TV Smart WEBOS + HDR+Recepteur integré + USB + HDMI+SCREEN MIRORRING2,776.00 Dhs2,900.00 Dhs4%","https://www.jumia.ma/lg-32-tv-smart-webos-hdrrecepteur-integre-usb-hdmiscreen-mirorring-32477255.html","LG 32"" TV Smart WEBOS + HDR+Recepteur integré + USB + HDMI+SCREEN MIRORRING","2,776.00 Dhs","null","LG"
"1638026842-485","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Vision LED 65"" VS-65LDA871 Smart TV Ultra Slim (DVB-S2) - 4K - WEBOS + Service 12 mois6,499.00 Dhs7,999.00 Dhs19%","https://www.jumia.ma/vision-led-65-vs-65lda871-smart-tv-ultra-slim-dvb-s2-4k-webos-service-12-mois-42654176.html","Vision LED 65"" VS-65LDA871 Smart TV Ultra Slim (DVB-S2) - 4K - WEBOS + Service 12 mois","6,499.00 Dhs","null","Vision"
"1638026935-521","https://www.jumia.ma/mlp-smart-tv/?page=2#catalog-listing","Boutique OfficielleCHIQ U58 H7 58"" 4K UHD LED TV (8Go, 1.5Go) ANDROID TNT + SATELLITE - Gris & Noir4.3 out of 5(3)5,690.00 Dhs5,790.00 Dhs2%","https://www.jumia.ma/chiq-u58-h7-58-4k-uhd-led-tv-8go-1.5go-android-tnt-satellite-gris-noir-40717744.html","CHIQ U58 H7 58"" 4K UHD LED TV (8Go, 1.5Go) ANDROID TNT + SATELLITE - Gris & Noir","5,690.00 Dhs","4.3","CHIQ"
"1638026339-292","https://www.jumia.ma/mlp-smart-tv/?page=8#catalog-listing","Expédié depuis l'étrangerPyle 6.5-Inch 400-Watt 2-Way Custom Component System Yellow PLG6C (Open Box)421.59 Dhs526.99 Dhs20%","https://www.jumia.ma/pyle-6.5-inch-400-watt-2-way-custom-component-system-yellow-plg6c-open-box-43475749.html","Pyle 6.5-Inch 400-Watt 2-Way Custom Component System Yellow PLG6C (Open Box)","421.59 Dhs","null","Pyle"
"1638026455-338","https://www.jumia.ma/mlp-smart-tv/?page=7#catalog-listing","Samsung TV 32""  Satellite intégré - HDMI -TNT-USB  - Garantie2,499.00 Dhs","https://www.jumia.ma/samsung-tv-32-satellite-integre-hdmi-tnt-usb-garantie-35239424.html","Samsung TV 32""  Satellite intégré - HDMI -TNT-USB  - Garantie","2,499.00 Dhs","null","Samsung"
"1638026465-342","https://www.jumia.ma/mlp-smart-tv/?page=7#catalog-listing","Samsung TV LED 43T5300 Full HD RÉCEPTEUR INTÉGRÉE SMART TV - Noir MODÈLE 20204,779.00 Dhs5,000.00 Dhs4%","https://www.jumia.ma/samsung-tv-led-43t5300-full-hd-recepteur-integree-smart-tv-noir-modele-2020-37395615.html","Samsung TV LED 43T5300 Full HD RÉCEPTEUR INTÉGRÉE SMART TV - Noir MODÈLE 2020","4,779.00 Dhs","null","Samsung"
"1638026709-434","https://www.jumia.ma/mlp-smart-tv/?page=4#catalog-listing","Samsung TV 32"" LED HD - Satellite intégré-HDMI-TNT-USB - 32N5000 + Support Mural - Garantie 1 ANS3.9 out of 5(55)1,989.00 Dhs2,199.00 Dhs10%","https://www.jumia.ma/tv-32-led-hd-satellite-integre-hdmi-tnt-usb-32n5000-support-mural-garantie-1-ans-samsung-mpg909188.html","Samsung TV 32"" LED HD - Satellite intégré-HDMI-TNT-USB - 32N5000 + Support Mural - Garantie 1 ANS","1,989.00 Dhs","3.9","Samsung"
"1638026351-297","https://www.jumia.ma/mlp-smart-tv/?page=8#catalog-listing","Expédié depuis l'étrangerElectric Guitar Toy Musical Play Kid Boy Gi Toddler Learning Electron Toy-Multicolor273.00 Dhs809.00 Dhs66%","https://www.jumia.ma/generic-electric-guitar-toy-musical-play-kid-boy-gi-toddler-learning-electron-toy-multicolor-43879277.html","Electric Guitar Toy Musical Play Kid Boy Gi Toddler Learning Electron Toy-Multicolor","273.00 Dhs","null","(Pas d'avis disponibles)"
"1638026890-504","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Samsung 32"" Smart Tv LED  HD TV avec Récepteur-SERIE 5-TNT-WIFI Intégré +Support Mural4.4 out of 5(45)2,539.00 Dhs3,549.00 Dhs28%","https://www.jumia.ma/32-smart-tv-led-hd-tv-avec-recepteur-serie-5-tnt-wifi-integre-32n5300-support-mural-samsung-mpg868123.html","Samsung 32"" Smart Tv LED  HD TV avec Récepteur-SERIE 5-TNT-WIFI Intégré +Support Mural","2,539.00 Dhs","4.4","Samsung"
